date,cost per view,spend
11/9/20,0.19,51848.6
11/9/20,,0
11/16/20,0.23,64122.67
11/16/20,4.06,38486.36
11/23/20,0.3,112334.08
11/23/20,4.07,70086.69
11/30/20,0.2,114245.95
11/30/20,2.86,35171.3
12/7/20,0.05,51569.68
12/7/20,2.16,75228.4
12/14/20,,0
12/14/20,2.81,85952.85
12/21/20,,0
12/21/20,1.71,42430.3
12/28/20,,0
12/28/20,1.97,64073
1/4/21,,0
1/4/21,3.13,39072.8
1/11/21,0.07,10000
1/11/21,2.95,60962.85
1/18/21,0.12,20000
1/18/21,2.87,101816.4
1/25/21,0.09,20000
1/25/21,4.64,139512.2
2/1/21,0.05,10000
2/1/21,2.79,95481.72
2/8/21,0.06,10000
2/8/21,3.38,59313
2/15/21,0.11,21000
2/15/21,3.14,45806.5
2/22/21,0.08,20000
2/22/21,3.63,48678.65
3/1/21,0.08,16000
3/1/21,4.65,59779.36
3/8/21,0.05,5999.99
3/8/21,5.07,71741.2
3/15/21,,0
3/15/21,0.04,6000
3/15/21,7.42,173982.82
3/22/21,0.03,6000
3/22/21,7.38,160229.89
3/29/21,0.06,6000
3/29/21,6.47,142977.96
4/5/21,0.04,6000
4/5/21,4.44,58482.07
4/12/21,0.05,5591.05
4/12/21,4.08,66053.07
4/19/21,0.1,20000
4/19/21,4.96,91656.21
4/26/21,0.05,13000
4/26/21,4.95,119119.85
5/3/21,0.05,10300
5/3/21,4.16,107146.99
5/10/21,0.03,10300
5/10/21,3.68,103826.28
5/17/21,0.09,5571.19
5/17/21,3.09,63916.25
5/24/21,0.03,5227.58
5/24/21,5.19,86770.73
5/31/21,0.02,16.25
5/31/21,7.5,93238.79
6/7/21,,0
6/7/21,5.75,120066.75